date,ukey,value,factor
2021-01-29,2046,51.07,risk_fac_growth_np_yoy
2021-01-29,2049,87.51,risk_fac_growth_np_yoy
2021-01-29,2048,-9.2,risk_fac_growth_np_yoy
2021-01-29,2047,-48.13,risk_fac_growth_np_yoy
2021-01-29,2050,3.4,risk_fac_growth_np_yoy
2021-01-29,2052,-123.62,risk_fac_growth_np_yoy
2021-01-29,2053,-17.8,risk_fac_growth_np_yoy
2021-01-29,2051,-83.02,risk_fac_growth_np_yoy
2021-01-29,2054,24.49,risk_fac_growth_np_yoy
2021-01-29,2055,363.59,risk_fac_growth_np_yoy
2021-01-29,2056,32.33,risk_fac_growth_np_yoy
2021-01-29,2057,15.67,risk_fac_growth_np_yoy
2021-01-29,2058,75.35,risk_fac_growth_np_yoy
2021-01-29,2061,-5.52,risk_fac_growth_np_yoy
2021-01-29,2059,-150.73,risk_fac_growth_np_yoy
2021-01-29,2060,48.11,risk_fac_growth_np_yoy
2021-01-29,2062,5.55,risk_fac_growth_np_yoy
2021-01-29,2063,3.18,risk_fac_growth_np_yoy
2021-01-29,2064,-8.27,risk_fac_growth_np_yoy
2021-01-29,2065,-18.36,risk_fac_growth_np_yoy
2021-01-29,2067,33.91,risk_fac_growth_np_yoy
2021-01-29,2066,12.43,risk_fac_growth_np_yoy
2021-01-29,2068,103.16,risk_fac_growth_np_yoy
