model_index,name,_fam,cfg,scan_sharpe,scan_cagr,rc_sharpe,rc_cagr,rc_mdd,rc_win,rc_turn,rc_nper,_min,rob_median,_max,G2med,ex_gross,ex_net,ir,t_net,ex_win,n_pass,_dmax
8417,L3_icir::ln_amt20+pvc20+ret60+ret20+vr5_20,L3_icir,5/60,1.3323,0.3445,1.3323,0.3445,-0.1906,0.6818,0.9818,22,-0.1558,0.3852,1.3323,0.5392,0.0609,0.0505,0.999,2.2864,0.7273,8,0.0
8419,L3_icir::ln_amt20+pvc20+amp20+ret20+vr5_20,L3_icir,5/60,1.2858,0.2183,1.2858,0.2183,-0.1172,0.6818,0.9818,22,-0.1436,0.3844,1.2858,0.5565,0.0324,0.022,0.5684,1.3009,0.6818,8,0.0
6926,L3_ic::ln_amt20+apvc20+intraday20+vr5_20,L3_ic,10/60,1.4122,0.4101,1.4122,0.4101,-0.2118,0.7273,0.9818,22,-0.146,0.38,1.4122,0.7265,0.0744,0.064,1.1984,2.7428,0.7727,8,0.0
6927,L3_icir::ln_amt20+apvc20+intraday20+vr5_20,L3_icir,10/60,1.5385,0.3825,1.5385,0.3825,-0.1741,0.8182,0.9864,22,-0.1028,0.3776,1.5385,0.7372,0.0671,0.0567,1.0681,2.4446,0.7727,8,0.0
8021,L3_icir::ln_amt20+apvc20+pvc20+ret60+vr5_20,L3_icir,5/60,1.2864,0.3072,1.2864,0.3072,-0.1786,0.6818,0.9909,22,-0.1459,0.3582,1.2864,0.5694,0.0532,0.0427,0.9256,2.1183,0.6818,8,0.0
9630,L3_ic::ln_amt20+apvc20+intraday20+vol20+ret20+vr5_20,L3_ic,5/60,1.2776,0.273,1.2776,0.273,-0.1474,0.6818,0.9818,22,-0.2865,0.3573,1.2776,0.5168,0.0452,0.0348,0.6742,1.5431,0.6364,8,0.0
8399,L3_icir::ln_amt20+pvc20+vol20+ret20+vr5_20,L3_icir,5/60,1.3285,0.2497,1.3285,0.2497,-0.1642,0.7273,1.0,22,-0.3185,0.3484,1.3285,0.5357,0.0397,0.0291,0.6302,1.4423,0.6818,8,0.0
7015,L3_icir::ln_amt20+intraday20+pvc20+vr5_20,L3_icir,10/60,1.455,0.369,1.455,0.369,-0.1656,0.6818,0.9864,22,-0.0377,0.2971,1.455,0.7579,0.0649,0.0545,1.0234,2.3422,0.8182,8,0.0
7971,L3_icir::ln_amt20+apvc20+intraday20+ret20+vr5_20,L3_icir,20/60,1.3575,0.3215,1.3575,0.3215,-0.147,0.7727,0.984,22,-0.2516,0.2769,1.3575,0.6692,0.0554,0.0449,1.1429,2.6158,0.7273,8,0.0
8195,L3_icir::ln_amt20+intraday20+pvc20+ret20+vr5_20,L3_icir,20/60,1.3029,0.3247,1.3029,0.3247,-0.1479,0.7727,0.9772,22,-0.1498,0.2641,1.3029,0.6809,0.0564,0.0461,1.1747,2.6884,0.7273,8,0.0
8194,L3_ic::ln_amt20+intraday20+pvc20+ret20+vr5_20,L3_ic,10/60,1.3248,0.3532,1.3248,0.3532,-0.0869,0.6818,0.9864,22,-0.1331,0.2533,1.3248,0.6256,0.0627,0.0522,0.9393,2.1498,0.7273,8,0.0
1712,L2::ln_amt20+apvc20+pvc20+ret20+vr5_20,L2,10/60,1.4658,0.3657,1.4658,0.3657,-0.1406,0.8182,0.9955,22,-0.4471,0.238,1.4658,0.7324,0.0641,0.0535,1.1761,2.6917,0.7727,8,0.0
3310,L2::ln_amt20+apvc20+intraday20+vol20+ret60+vr5_20,L2,5/60,1.3412,0.3348,1.3412,0.3348,-0.1117,0.6364,1.0,22,-0.8504,0.123,1.3412,0.524,0.0586,0.048,1.0691,2.4467,0.6818,8,0.0
5035,L2b::ln_amt20+amp20::-+,L2b,5/60,1.07,0.4042,1.07,0.4042,-0.3722,0.6818,0.8818,22,0.2636,0.781,1.07,0.9507,0.0796,0.0702,0.95,2.1742,0.6364,7,0.0
5335,L2b::ln_amt20+vr20_60+ret60::--+,L2b,5/20,0.8749,0.2525,0.8749,0.2525,-0.2729,0.5882,0.9588,68,0.2289,0.6691,0.8749,0.5473,0.021,0.0109,0.5774,1.3414,0.4559,7,0.0
5359,L2b::ln_amt20+vol_ratio+vol20::--+,L2b,20/20,0.8166,0.2377,0.8166,0.2377,-0.3289,0.6324,0.8646,68,-0.0171,0.6365,0.8166,0.7353,0.0194,0.0102,0.7543,1.7522,0.5735,7,0.0
9641,L3_icir::ln_amt20+apvc20+intraday20+atr20+amp20+vr5_20,L3_icir,10/60,1.0216,0.2327,1.0216,0.2327,-0.1272,0.5909,0.9682,22,-0.0849,0.6258,1.0216,0.6577,0.0377,0.0274,0.5039,1.1533,0.5909,7,0.0
7969,L3_icir::ln_amt20+apvc20+intraday20+amp20+vr5_20,L3_icir,20/60,1.0355,0.2078,1.0355,0.2078,-0.204,0.7273,0.9522,22,-0.1241,0.6177,1.0355,0.7578,0.0315,0.0214,0.5433,1.2435,0.6818,7,0.0
10005,L3_icir::ln_amt20+intraday20+pvc20+atr20+amp20+vr5_20,L3_icir,10/60,1.0118,0.2359,1.0118,0.2359,-0.1128,0.6364,0.9727,22,-0.0618,0.6006,1.0118,0.649,0.0387,0.0284,0.529,1.2107,0.5909,7,0.0
9637,L3_icir::ln_amt20+apvc20+intraday20+atr20+ret60+vr5_20,L3_icir,5/60,1.0518,0.2465,1.0518,0.2465,-0.166,0.6818,0.9909,22,-0.1045,0.6,1.0518,0.5453,0.0411,0.0306,0.725,1.6594,0.6364,7,0.0
5424,L2b::ln_amt20+atr20+ret60::-+-,L2b,20/60,0.951,0.3032,0.951,0.3032,-0.2834,0.7727,0.9476,22,0.3873,0.5994,0.951,0.6158,0.0564,0.0464,0.9264,2.1201,0.5455,7,0.0
5346,L2b::ln_amt20+vr20_60+ret20::-+-,L2b,5/60,1.3147,0.3824,1.3147,0.3824,-0.3213,0.7273,0.9909,22,0.1515,0.5756,1.3147,0.6485,0.0699,0.0594,1.2741,2.916,0.6818,7,0.0
7014,L3_ic::ln_amt20+intraday20+pvc20+vr5_20,L3_ic,10/60,1.3118,0.3537,1.3118,0.3537,-0.2407,0.6364,0.9818,22,-0.045,0.401,1.3118,0.7391,0.0632,0.0528,0.941,2.1536,0.6818,7,0.0
3182,L2::ln_amt20+apvc20+intraday20+pvc20+vr20_60+vr5_20,L2,20/60,1.3027,0.2678,1.3027,0.2678,-0.193,0.8182,0.9816,22,-0.5066,0.3949,1.3027,0.7602,0.0437,0.0333,1.1047,2.5284,0.7273,7,0.0
