code,entry_date,entry_px,exit_date,exit_px,ret,hold,regime,ex_b,ex_m
sz000933,2021-10-15,9.0215775,2021-11-26,7.14,-0.2131148903836385,30,bear,-0.2908655753017527,-0.19578095671033313
sz002559,2021-10-15,7.422434999999999,2021-10-27,7.52,0.007319026707542697,8,bear,0.0248221816466353,0.04718546491700959
sh600961,2021-10-15,9.655199999999999,2021-11-18,8.46,-0.12882643549589845,24,bear,-0.17773300879475562,-0.10834665980722968
sz002114,2021-10-15,8.398012499999998,2021-10-22,9.45,0.1187959651167465,5,bear,0.12246334482481358,0.13558081713146009
sz002080,2021-10-15,28.492897499999994,2021-10-27,33.0,0.15152381396100556,8,bear,0.16902696890009816,0.19139025217047245
sz002006,2021-10-15,16.554645,2021-11-02,16.76,0.006583348661357569,12,bear,0.026752214131118834,0.057847307382828506
sz000837,2021-10-15,10.90233,2021-11-12,11.0,0.0031571232938281124,20,bear,-0.03730888459486836,0.020586483832599756
sh605169,2021-11-02,11.2342275,2021-11-18,11.89,0.052287084269924344,12,bear,-0.018210204838708943,0.019839510136114624
sh600289,2021-11-02,3.5704124999999993,2021-11-04,3.72,0.03590551511905149,2,bear,0.014833232184620293,0.02166840653246238
sh605162,2021-11-02,11.857792499999999,2021-11-17,12.83,0.07576747526995442,11,bear,-0.0022350223169445016,0.032345064718186656
sh605555,2021-11-04,13.225612499999999,2021-11-12,14.96,0.12463449235337887,6,bear,0.08466601934377271,0.10350954385292299
sh600238,2021-11-05,18.204075,2021-11-18,19.3,0.05410601747136301,9,bear,0.0013648915188340105,0.03173008666518662
sz003008,2022-01-13,20.71845,2022-02-22,18.37,-0.11844889458429564,23,bear,-0.06807957207686854,-0.030399923056926625
sz002141,2022-01-25,5.5617975,2022-02-18,5.64,0.008229803404384839,13,bear,-0.01886083652173909,-0.0019861856290841473
sz003037,2022-02-08,10.5503175,2022-02-18,11.72,0.10447955713181156,8,bear,0.09042273671293555,0.1109263106555387
sz002605,2022-02-10,22.357822499999997,2022-04-06,17.86,-0.2057676904805913,37,bear,-0.1671183779785923,-0.08088355811475512
