sym,close,amt20_wan,volbr,ret20_pct,comp_prov,rank_prov
sh603130,38.68,3550.4,0.737,-3.42,1.9335,342
sz300614,10.31,2749.6,1.145,-4.36,1.9329,343
sz300994,11.23,2275.4,1.008,-1.66,1.9328,344
sz002101,8.54,3031.4,0.882,-3.28,1.9316,345
sh603188,4.5,8327.7,0.454,-7.6,1.9311,346
sh603908,19.45,2453.4,0.708,0.31,1.9308,347
sh600720,5.1,4011.8,0.606,-3.04,1.9304,348
sz300375,4.07,3616.8,0.559,-1.45,1.9278,349
sz000017,7.53,69087.0,0.495,-27.67,1.9272,350
sh603408,11.69,3349.8,0.437,1.12,1.9251,351
sz300380,28.08,9529.3,0.35,-6.8,1.9227,352
sh600960,3.9,3424.8,0.843,-3.94,1.9202,353
sh600955,12.38,3161.8,0.794,-2.75,1.9194,354
sz002805,16.16,13718.2,0.645,-14.68,1.9184,355
sz000822,4.22,5938.8,0.478,-4.74,1.9184,356
sz300923,24.14,3336.2,0.876,-3.94,1.9165,357
sz300982,14.34,2861.7,1.025,-3.69,1.9151,358
sz301109,12.7,4711.4,0.557,-3.71,1.9148,359
sz000751,4.45,22683.5,0.429,-16.2,1.9135,360
sh600731,5.89,4073.3,0.407,0.0,1.9133,361
sz002090,9.02,5011.7,0.68,-5.75,1.9129,362
sh603102,37.5,6715.1,0.662,-8.22,1.9115,363
sz001289,14.95,5860.3,0.482,-4.59,1.9108,364
sz002573,3.11,4140.7,0.635,-3.42,1.9071,365
sz301578,23.34,2307.7,0.736,0.86,1.9067,366
sh603385,5.69,2326.9,0.662,1.61,1.9048,367
sh600800,3.2,6475.3,0.786,-9.09,1.904,368
sz002828,10.85,16026.9,0.407,-12.5,1.9038,369
sz300965,43.09,2860.2,1.1,-4.07,1.9031,370
sh600215,6.1,3995.0,0.747,-4.24,1.9017,371
sh600882,19.04,8471.2,0.458,-7.48,1.9013,372
sh603169,6.02,6641.8,0.658,-7.95,1.9009,373
sz301658,21.95,6208.9,0.653,-7.27,1.9,374
sz000419,4.99,3625.5,0.443,0.6,1.8985,375
sz301006,13.91,2306.0,0.677,1.61,1.8969,376
sh603586,13.65,2237.1,0.687,1.79,1.8958,377
sh603189,9.63,2138.5,0.525,4.22,1.8951,378
sz300423,5.41,4093.9,1.314,-8.61,1.895,379
sz000159,5.46,4933.5,1.218,-9.75,1.8942,380
sh600167,5.51,4649.0,0.622,-4.17,1.8938,381
sz000605,5.95,2192.8,0.82,0.68,1.8937,382
sz301535,13.83,3645.8,0.713,-2.95,1.8928,383
sz002038,5.65,14691.6,0.555,-13.87,1.8908,384
sh603076,20.21,2946.3,0.899,-2.7,1.8907,385
sz002872,5.94,2564.6,0.578,1.89,1.8905,386
sz300269,4.54,5627.0,0.9,-8.65,1.8902,387
sz301508,24.24,2264.9,0.973,-0.86,1.8897,388
sz301273,36.83,7567.6,0.658,-9.02,1.889,389
sz300531,15.23,14178.0,0.347,-9.99,1.8884,390
sh603368,15.17,4942.7,0.656,-5.07,1.8883,391
sh600716,3.69,2146.0,0.838,0.82,1.8843,392
sz000599,4.45,4266.0,0.886,-5.92,1.8841,393
sh605598,24.56,5950.6,0.927,-9.31,1.8834,394
sh601188,2.85,4002.2,0.655,-3.06,1.883,395
sz002177,5.43,16122.1,0.383,-11.85,1.8823,396
sz000935,19.99,9388.1,0.953,-13.69,1.8818,397
sh605009,24.88,2827.4,0.879,-2.05,1.8815,398
sz300278,3.58,5638.5,0.755,-7.25,1.8815,399
sz001277,30.55,7858.3,0.296,-3.29,1.8804,400
sz300898,19.75,5801.5,0.476,-4.03,1.8792,401
sz002136,11.72,5363.9,0.77,-6.91,1.879,402
sz301037,13.12,2614.4,0.711,0.31,1.8783,403
sz301267,14.91,5606.8,0.787,-7.45,1.8757,404
sh600272,15.24,56461.9,0.909,-29.77,1.8757,405
sz002595,38.94,24217.2,0.535,-17.99,1.8738,406
sh601965,13.04,7544.2,0.62,-8.36,1.8735,407
sz300289,5.94,3218.0,0.932,-3.57,1.8729,408
sz301277,10.24,2918.0,0.854,-2.01,1.8723,409
sh603327,8.27,21334.8,0.336,-13.31,1.8703,410
sz000553,5.46,5553.6,0.455,-3.19,1.8698,411
sh600917,4.79,4593.4,0.386,-0.21,1.8691,412
sh603848,13.32,3532.3,0.761,-2.84,1.8672,413
sh600137,17.93,2340.4,0.957,-0.77,1.8671,414
sh600678,5.68,4663.1,0.416,-0.87,1.8666,415
sz002114,7.19,6473.1,0.59,-6.5,1.8662,416
sh603299,8.64,3526.0,0.708,-2.26,1.8647,417
sz002817,6.73,2852.9,0.679,0.0,1.8646,418
sz002732,14.17,2223.9,0.694,2.16,1.8619,419
sz003023,25.73,7914.6,0.416,-5.68,1.8614,420
sz002759,13.89,25731.9,0.699,-20.4,1.8602,421
sh600319,6.25,2800.8,0.846,-1.42,1.86,422
sz002345,8.47,15569.9,0.48,-12.95,1.8592,423
sh600618,9.72,6580.9,0.602,-6.72,1.8583,424
sh603310,14.74,2191.5,0.769,1.59,1.8564,425
sz300716,17.85,3503.6,1.332,-6.84,1.856,426
sz000958,5.03,5617.6,0.654,-5.81,1.8518,427
sz300878,30.9,8845.8,0.613,-9.49,1.8516,428
sz002554,2.76,6688.2,0.551,-6.12,1.8511,429
sz002243,6.94,6775.4,0.672,-7.71,1.8506,430
sh603014,31.15,3133.5,0.841,-2.29,1.8496,431
sh600668,7.34,3061.6,0.878,-2.39,1.8491,432
sz002664,14.72,5203.2,0.804,-6.6,1.8475,433
sz301469,29.03,2857.0,0.984,-2.58,1.8469,434
sh603876,17.94,32999.1,0.695,-22.47,1.8454,435
sz000757,4.3,4117.3,0.956,-5.7,1.8441,436
sz002216,11.49,6182.4,0.515,-4.81,1.8437,437
sz301097,34.45,2248.5,0.612,3.21,1.8437,438
sh603609,6.22,3847.5,0.798,-3.72,1.8434,439
sz301519,12.14,2431.0,0.716,1.34,1.842,440
sz002014,10.96,3296.1,0.561,0.37,1.8417,441
sz300892,22.39,5771.9,0.654,-5.92,1.8403,442
sz301131,33.61,2522.4,0.834,-0.12,1.8394,443
sz000668,18.35,7740.4,2.629,-19.02,1.8393,444
sz300791,17.52,2985.0,0.595,0.86,1.839,445
sz301106,19.28,8750.5,0.355,-5.16,1.8385,446
sz002047,3.19,10781.8,0.517,-9.89,1.8385,447
sh603987,7.5,2418.9,0.93,-0.53,1.8378,448
sz002581,4.97,4204.8,0.739,-3.87,1.8357,449
sz301331,21.61,2586.8,1.034,-1.91,1.8347,450
sh600168,4.38,2086.8,1.143,-0.68,1.8347,451
sz301371,20.88,6226.9,0.54,-5.09,1.8323,452
sz300157,3.65,13732.4,0.399,-10.1,1.8315,453
sh600169,2.18,2315.8,0.425,5.83,1.8304,454
sz300437,10.73,8305.1,0.481,-6.86,1.8304,455
sz300370,2.14,5328.1,0.842,-6.96,1.8299,456
sh603097,18.44,2833.3,1.237,-4.01,1.8282,457
sh603315,10.82,8049.6,0.596,-8.15,1.8279,458
sz000655,7.1,5324.9,0.526,-3.4,1.8275,459
sz002946,14.33,7145.9,0.557,-6.52,1.8263,460
sz300967,16.15,10493.8,0.393,-7.45,1.8262,461
sz301192,19.81,2525.3,0.772,0.61,1.8259,462
sh603095,14.43,11572.1,0.603,-11.53,1.8247,463
